Date,Nom,Delivery,1801105_Usage,59004210_Usage,Total_Usage,Bank_Bal
9/1/16,2894,2790.3948,3250,0,3250,58292.52478
9/2/16,2894,2790.3948,3250,46.6,3296.6,57786.31958
9/3/16,2894,2790.3948,3250,0,3250,57326.71438
9/4/16,2894,2790.3948,3250,0,3250,56867.10918
9/5/16,2894,2790.3948,3250,0,3250,56407.50398
9/6/16,2894,2790.3948,3250,0,3250,55947.89878
9/7/16,2894,2790.3948,3250,0,3250,55488.29358
9/8/16,2894,2790.3948,3250,0,3250,55028.68838
9/9/16,2894,2790.3948,3250,0,3250,54569.08318
9/10/16,2894,2790.3948,3250,0,3250,54109.47798
9/11/16,2894,2790.3948,3250,0,3250,53649.87278
9/12/16,2894,2790.3948,3250,0,3250,53190.26758
9/13/16,2894,2790.3948,3250,0,3250,52730.66238
9/14/16,2894,2790.3948,3250,0,3250,52271.05718
9/15/16,2894,2790.3948,3250,0,3250,51811.45198
9/16/16,2894,2790.3948,3250,0,3250,51351.84678
9/17/16,2894,2790.3948,3250,0,3250,50892.24158
9/18/16,2894,2790.3948,3250,0,3250,50432.63638
9/19/16,2894,2790.3948,3250,0,3250,49973.03118
9/20/16,2894,2790.3948,3250,0,3250,49513.42598
9/21/16,2894,2790.3948,3250,0,3250,49053.82078
9/22/16,2894,2790.3948,3250,0,3250,48594.21558
9/23/16,2894,2790.3948,3250,0,3250,48134.61038
9/24/16,2894,2790.3948,3250,0,3250,47675.00518
9/25/16,2894,2790.3948,3250,0,3250,47215.39998
9/26/16,2894,2790.3948,3250,0,3250,46755.79478
9/27/16,2894,2790.3948,3250,0,3250,46296.18958
9/28/16,2894,2790.3948,3250,0,3250,45836.58438
9/29/16,2894,2790.3948,3250,0,3250,45376.97918
9/30/16,2904,2800.0368,3250,0,3250,44927.01598
8/1/16,3400,3278.28,3274.4,0,3274.4,59610.24978
8/2/16,3400,3278.28,3204.9,0,3204.9,59683.62978
8/3/16,3400,3278.28,3111.6,0,3111.6,59850.30978
8/4/16,3400,3278.28,3056.9,0,3056.9,60071.68978
8/5/16,3400,3278.28,3127.2,0,3127.2,60222.76978
8/6/16,3400,3278.28,3183.7,0,3183.7,60317.34978
8/7/16,3400,3278.28,3179.3,0,3179.3,60416.32978
8/8/16,3400,3278.28,3225.8,0,3225.8,60468.80978
8/9/16,3400,3278.28,3257.8,0,3257.8,60489.28978
8/10/16,3400,3278.28,3182.9,0,3182.9,60584.66978
8/11/16,3400,3278.28,3002.2,0,3002.2,60860.74978
8/12/16,3400,3278.28,3193.6,0,3193.6,60945.42978
8/13/16,3400,3278.28,3166.5,0,3166.5,61057.20978
8/14/16,3400,3278.28,3163.9,0,3163.9,61171.58978
8/15/16,3400,3278.28,3346.2,12.4,3358.6,61091.26978
8/16/16,3400,3278.28,3206.3,0,3206.3,61163.24978
8/17/16,3400,3278.28,3179.2,16.6,3195.8,61245.72978
8/18/16,3400,3278.28,3206.5,0,3206.5,61317.50978
8/19/16,3400,3278.28,3217.5,0,3217.5,61378.28978
8/20/16,3400,3278.28,3340.2,0,3340.2,61316.36978
8/21/16,3400,3278.28,3400.1,0,3400.1,61194.54978
8/22/16,3400,3278.28,3390.9,0,3390.9,61081.92978
8/23/16,3400,3278.28,3369.4,0,3369.4,60990.80978
8/24/16,3400,3278.28,3322,21.7,3343.7,60925.38978
8/25/16,3400,3278.28,3214.5,254.6,3469.1,60734.56978
8/26/16,3400,3278.28,3227.1,217.4,3444.5,60568.34978
8/27/16,3400,3278.28,3325.8,0,3325.8,60520.82978
8/28/16,3400,3278.28,3373.8,33.1,3406.9,60392.20978
8/29/16,3400,3278.28,3350,540.3,3890.3,59780.18978
8/30/16,3400,3278.28,3350,456.4,3806.4,59252.06978
8/31/16,3381,3259.9602,3350,409.9,3759.9,58752.12998
7/1/16,3304,3185.7168,3410.3,0,3410.3,62065.96578
7/2/16,3304,3185.7168,3311.7,0,3311.7,61939.98258
7/3/16,3304,3185.7168,3331.9,0,3331.9,61793.79938
7/4/16,3304,3185.7168,3350.9,0,3350.9,61628.61618
7/5/16,3304,3185.7168,3404.2,0,3404.2,61410.13298
7/6/16,3304,3185.7168,3418.4,0,3418.4,61177.44978
7/7/16,3304,3185.7168,3477.9,0,3477.9,60885.26658
7/8/16,3304,3185.7168,3417.8,0,3417.8,60653.18338
7/9/16,3304,3185.7168,3579.1,0,3579.1,60259.80018
7/10/16,3304,3185.7168,3534.2,0,3534.2,59911.31698
7/11/16,3304,3185.7168,3131.5,0,3131.5,59965.53378
7/12/16,3304,3185.7168,3094.8,0,3094.8,60056.45058
7/13/16,3304,3185.7168,3205.3,0,3205.3,60036.86738
7/14/16,3304,3185.7168,3224.9,0,3224.9,59997.68418
7/15/16,3304,3185.7168,3269.8,0,3269.8,59913.60098
7/16/16,3304,3185.7168,3154.2,0,3154.2,59945.11778
7/17/16,3304,3185.7168,3170.7,0,3170.7,59960.13458
7/18/16,3304,3185.7168,3318.2,0,3318.2,59827.65138
7/19/16,3304,3185.7168,3255.7,0,3255.7,59757.66818
7/20/16,3304,3185.7168,3168.8,0,3168.8,59774.58498
7/21/16,3304,3185.7168,3156.9,0,3156.9,59803.40178
7/22/16,3304,3185.7168,3070.5,0,3070.5,59918.61858
7/23/16,3304,3185.7168,3002.3,0,3002.3,60102.03538
7/24/16,3304,3185.7168,3103.1,0,3103.1,60184.65218
7/25/16,3304,3185.7168,3261.9,0,3261.9,60108.46898
7/26/16,3304,3185.7168,3201,0,3201,60093.18578
7/27/16,3304,3185.7168,3260.3,0,3260.3,60018.60258
7/28/16,3304,3185.7168,3294,0,3294,59910.31938
7/29/16,3304,3185.7168,3317.7,0,3317.7,59778.33618
7/30/16,3304,3185.7168,3292.9,0,3292.9,59671.15298
7/31/16,3304,3185.7168,3250.5,0,3250.5,59606.36978
6/1/16,4237,4085.3154,3642.3,263.1,3905.4,46202.20238
6/2/16,4237,4085.3154,3644.6,78.7,3723.3,46564.21778
6/3/16,4237,4085.3154,3619.9,0,3619.9,47029.63318
6/4/16,4237,4085.3154,3801.1,0,3801.1,47313.84858
6/5/16,4237,4085.3154,3660.7,0,3660.7,47738.46398
6/6/16,4237,4085.3154,3651.3,0,3651.3,48172.47938
6/7/16,4237,4085.3154,3917.2,0,3917.2,48340.59478
6/8/16,4237,4085.3154,3824.7,0,3824.7,48601.21018
6/9/16,4237,4085.3154,3732,9.3,3741.3,48945.22558
6/10/16,4237,4085.3154,3529.5,0,3529.5,49501.04098
6/11/16,4237,4085.3154,3397.1,0,3397.1,50189.25638
6/12/16,4237,4085.3154,3558.6,0,3558.6,50715.97178
6/13/16,4237,4085.3154,3382.9,0,3382.9,51418.38718
6/14/16,4237,4085.3154,3476.3,0,3476.3,52027.40258
6/15/16,4237,4085.3154,3343.8,0,3343.8,52768.91798
6/16/16,4237,4085.3154,3460,0,3460,53394.23338
6/17/16,4237,4085.3154,3511.7,0,3511.7,53967.84878
6/18/16,4237,4085.3154,3419.9,0,3419.9,54633.26418
6/19/16,4237,4085.3154,3449.5,0,3449.5,55269.07958
6/20/16,4237,4085.3154,3383.9,0,3383.9,55970.49498
6/21/16,4237,4085.3154,3422.4,0,3422.4,56633.41038
6/22/16,4237,4085.3154,3681.1,0,3681.1,57037.62578
6/23/16,4237,4085.3154,3554.4,0,3554.4,57568.54118
6/24/16,4237,4085.3154,3465.9,0,3465.9,58187.95658
6/25/16,4237,4085.3154,3350.1,0,3350.1,58923.17198
6/26/16,4237,4085.3154,3374,0,3374,59634.48738
6/27/16,4237,4085.3154,3390.3,0,3390.3,60329.50278
6/28/16,4237,4085.3154,3531.6,0,3531.6,60883.21818
6/29/16,4237,4085.3154,3445.8,0,3445.8,61522.73358
6/30/16,4237,4085.3154,3317.5,0,3317.5,62290.54898
5/1/16,3927,3786.4134,5587.1,0,5587.1,27913.71958
5/2/16,3927,3786.4134,5258.2,0,5258.2,26441.93298
5/3/16,3927,3786.4134,4733.3,0,4733.3,25495.04638
5/4/16,3927,3786.4134,5882.5,0,5882.5,23398.95978
5/5/16,3927,3786.4134,5132.8,0,5132.8,22052.57318
5/6/16,3927,3786.4134,3979.6,0,3979.6,21859.38658
5/7/16,5027,4847.0334,4772.6,0,4772.6,21933.81998
5/8/16,5027,4847.0334,4337.4,0,4337.4,22443.45338
5/9/16,5027,4847.0334,4784.8,0,4784.8,22505.68678
5/10/16,5027,4847.0334,4473.1,0,4473.1,22879.62018
5/11/16,5027,4847.0334,4300,0,4300,23426.65358
5/12/16,5027,4847.0334,4280.6,0,4280.6,23993.08698
5/13/16,5027,4847.0334,4748.6,0,4748.6,24091.52038
5/14/16,4910,4734.222,5883.5,0,5883.5,22942.24238
5/15/16,4910,4734.222,5478.8,0,5478.8,22197.66438
5/16/16,4910,4734.222,4488.5,0,4488.5,22443.38638
5/17/16,5110,4927.062,5155.4,0,5155.4,22215.04838
5/18/16,5110,4927.062,4759.4,0,4759.4,22382.71038
5/19/16,5910,5698.422,4464.4,0,4464.4,23616.73238
5/20/16,5910,5698.422,4282.3,0,4282.3,25032.85438
